web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1770050955-1","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","51.00","ยูโร่ พัฟเค้กสอดไส้ครีมคัสตาร์ด 204 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/27/88/8850425002927/thumbnail/8850425002927_1-20250610165340-.jpg"
"1770050955-2","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","51.00","เลย์ มันฝรั่งแท้ทอดกรอบแผ่นเรียบ รสโนริสาหร่าย 12 ก. แพ็ค 12","฿53.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/72/88/8850718701872/thumbnail/8850718701872_0-20260129163536-.jpg"
"1770050955-3","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","51.00","เลย์ ร็อค มันฝรั่งแท้ทอดกรอบแผ่นหยัก กลิ่นเอ็กซ์ตร้า บาร์บีคิว 12 ก. แพ็ค 12","฿53.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/70/88/8850718701070/thumbnail/8850718701070_0-20260129163643-.jpg"
"1770050955-4","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","51.00","เลย์ ร็อค มันฝรั่งแท้ทอดกรอบแผ่นหยัก รสมันฝรั่งแท้ 13 ก. แพ็ค 12","฿53.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/63/88/8850718701063/thumbnail/8850718701063_0-20260129163717-.jpg"
"1770050955-5","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","51.00","เลย์ มันฝรั่งแท้ทอดกรอบแผ่นเรียบ รสมันฝรั่งแท้ 13 ก. แพ็ค 12","฿53.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/55/88/8850718701155/thumbnail/8850718701155-20240930125702-.jpg"
"1770050955-6","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","51.00","เลย์ มันฝรั่งแท้ทอดกรอบแผ่นเรียบ รสเมี่ยงคำครบรส 11 ก. แพ็ค 12","฿53.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/76/88/8850718707676/thumbnail/8850718707676_0-20260129163744-.jpg"
"1770050955-7","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","103.00","เลย์ มันฝรั่งแท้ทอดกรอบแผ่นเรียบ รสโนริสาหร่าย 48 ก. x 6 ชิ้น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/26/88/8850718714926/thumbnail/8850718714926_1-20260129151716-.jpg"
"1770050955-8","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","51.00","เลย์ ร็อค มันฝรั่งแท้ทอดกรอบแผ่นหยัก รสหมึกย่างฮอตชิลลี่ 12 ก. แพ็ค 12","฿53.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/55/88/8850718703555/thumbnail/8850718703555_0-20260129163504-.jpg"
"1770050955-9","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","103.00","เลย์ ร็อค มันฝรั่งแท้ทอดกรอบแผ่นหยัก กลิ่นเอ็กซ์ตร้า บาร์บีคิว 48 ก. x 6 ชิ้น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/33/88/8850718714933/thumbnail/8850718714933_1-20260129151632-.jpg"
"1770050955-10","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","31.00","เลย์ มันฝรั่งแท้ทอดกรอบแผ่นเรียบ รสโนริสาหร่าย 69 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/93/88/8850718801893/thumbnail/8850718801893_1-20260129150830-.jpg"
