web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1770051588-1","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","39.00","คิเรอิ คิเรอิ โฟมล้างมือ 200 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/45/88/8850002020245/thumbnail/8850002020245_1-20251014134734-.jpg"
"1770051588-2","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","39.00","คิเรอิ คิเรอิ โฟมล้างมือ กลิ่นพีช ถุงเติม 200 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/06/88/8850002026506/thumbnail/8850002026506_1-20230818091613-.jpg"
"1770051588-3","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","20.00","ซิสเท็มมา ยาสีฟัน กลิ่นไอซี มินต์ 80 ก.","฿25.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/98/88/8850002017498/thumbnail/8850002017498_1-20240716151217-.jpg"
"1770051588-4","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","219.00","เคลียร์ เมน แอนตี้แดนดรัฟ แชมพู อัลตร้า สกาล์ป รีชาร์จ 360 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/34/88/8851932478434/thumbnail/8851932478434_1-20250206115100-.jpg"
"1770051588-5","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","39.00","คิเรอิ คิเรอิ ผลิตภัณฑ์โฟมล้างมือ กลิ่นมูราซากิ ลาเวนเดอร์ และอโลเวล่า ชนิดถุงเติม 200 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/88/88/8850002035188/thumbnail/8850002035188_1-20230818091833-.jpg"
"1770051588-6","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","10.50","ซิสเท็มมา ยาสีฟัน สูตรไอซี่ มินต์ 40 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/74/88/8850002017474/thumbnail/8850002017474_1-20240716151217-.jpg"
"1770051588-7","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","20.00","เดนเทอร์ แปรงสีฟัน โปร คลีน ชนิดขนแปรงนุ่ม","฿22.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/07/88/8850002034907/thumbnail/8850002034907.jpg"
"1770051588-8","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","113.00","อิงอร สบู่สมุนไพร สูตรน้ำนมจมูกข้าว 160 ก. แพ็ค 4","฿118.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/34/88/8858587001734/thumbnail/8858587001734_1-20230103090010-.jpg"
"1770051588-9","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","113.00","อิงอร สบู่สมุนไพร สูตรมะขามแท้ 160 ก. แพ็ค 4","฿118.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/76/88/8858587006876/thumbnail/8858587006876_2.jpg"
"1770051588-10","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","98.00","โชกุบุสซึ โมโนกาตาริ ครีมอาบน้ำ ไชนีส มิลล์ เวทช์ 400 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/64/88/8850002024564/thumbnail/8850002024564_1-20251203125423-.jpg"
"1770051588-11","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","134.00","ดีนี่ คิดส์ สบู่เหลวอาบสระ ม่วง 400 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/42/88/8851989060842/thumbnail/8851989060842_1-20240828105352-.jpg"
"1770051588-12","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","134.00","ดีนี่ คิดส์ สบู่เหลวอาบสระ ชมพู 400 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/35/88/8851989060835/thumbnail/8851989060835_1-20240828105318-.jpg"
"1770051588-13","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","55.00","พฤกษานกแก้ว สบู่ก้อน กลิ่นพฤกษานานาพรรณ 105 ก. แพ็ค 4","฿62.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/81/88/8851929004981/thumbnail/8851929004981_1-20230929124802-.jpg"
"1770051588-14","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","155.00","คอลเกต พลักซ์ น้ำยาบ้วนปาก สูตรเปปเปอร์มินท์ เฟรช 500 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/35/88/8850006301135/8850006301135_2-20240906111524-.jpg"
"1770051588-15","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","99.00","คอลเกต ยาสีฟัน รสยอดนิยม 150 ก. แพ็คคู่","฿119.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/69/88/8850006232569/thumbnail/8850006232569_1-20251015160824-.jpg"
"1770051588-16","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","99.00","บีไนซ์ ครีมอาบน้ำ สูตรเซลลูไลท์ โพรเทคชั่น ชนิดเติม 400 มล.","฿109.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/11/88/8851989080611/thumbnail/8851989080611_1-20251128163505-.jpg"
"1770051588-17","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","49.00","เคลียร์โนส แอคเน่ เจล คอนเซนเทรทโซลูชั่น แคร์ 4 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/31/88/8858977224231/thumbnail/8858977224231_1-20240201153357-.jpg"
"1770051588-18","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","49.00","โรจูคิส สลีปปิ้ง มาส์ก วิตามินบี12 20 มล.","฿99.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/62/88/8809675774962/thumbnail/8809675774962_1-20250918135509-.jpg"
"1770051588-19","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","22.00","เอเวอร์กรีน สำลีก้าน ขนาด 100 ก้าน","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/78/88/8852117111078/thumbnail/8852117111078_1-20251006163829-.jpg"
"1770051588-20","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","11.00","เมอรี่เบลล์ สบู่ขิง 50 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/55/88/8853502011355/thumbnail/8853502011355_1-20251127162219-.jpg"
"1770051588-21","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","49.00","โรจูคิส ไนอะซิน โกลว์ แร็ปปิ้ง มาส์ก 10 มล.","฿99.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/13/88/8809675775013/thumbnail/8809675775013_1-20250918110828-.jpg"
"1770051588-22","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","69.00","คอลเกต แปรงสีฟัน สลิมซอฟท์ ดีพคลีน อัลตร้าซอฟท์","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/51/88/8850006332351/thumbnail/8850006332351_1-20240911093918-.jpg"
"1770051588-23","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","98.00","โชกุบุสซึ โมโนกาตาริ ครีมอาบน้ำ สูตรเพิ่มความชุ่มชื่นสำหรับผิวแห้ง 400 มล. ถุงเติม","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/17/88/8850002028517/thumbnail/8850002028517_1-20251203125453-.jpg"
