web_scraper_order,web_scraper_start_url,pagination-selector,price,data2,image
"1769948089-1","https://www.bigc.co.th/category/beverages?limit=100&page=23","","99.00","ยูซีซี โรสต์ มาสเตอร์ กาแฟดริป อิตาเลียน โรสต์ 45 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/70/88/8852999821270/thumbnail/8852999821270_1-20230609133000-.jpg"
"1769948089-2","https://www.bigc.co.th/category/beverages?limit=100&page=23","","10.00","น้ำแข็งหลอดใหญ่ 1 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/14/20/2000006387714/thumbnail/2000006387714_1-20230403104841-.jpg"
"1769948089-3","https://www.bigc.co.th/category/beverages?limit=100&page=23","","11.00","น้ำแข็งหลอดเล็ก 1.4 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/94/88/8859076199994/thumbnail/8859076199994_1-20230403104847-.jpg"
"1769948089-4","https://www.bigc.co.th/category/beverages?limit=100&page=23","","8.00","น้ำแข็งหลอดเล็ก 1.5 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/33/20/2000006086433/thumbnail/2000006086433_1-20230403104842-.jpg"
"1769948089-5","https://www.bigc.co.th/category/beverages?limit=100&page=23","","10.00","น้ำแข็งหลอดใหญ่ 1.4 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/18/88/8854857000018/thumbnail/8854857000018_1-20230403150631-.jpg"
"1769948089-6","https://www.bigc.co.th/category/beverages?limit=100&page=23","","10.00","น้ำแข็งหลอดเล็ก 1 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/67/20/2000004363567/thumbnail/2000004363567_1-20230403145610-.jpg"
"1769948089-7","https://www.bigc.co.th/category/beverages?limit=100&page=23","","10.00","มิสเตอร์กบ น้ำแข็งหลอดเล็ก 1 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/33/88/8855356000233/thumbnail/8855356000233_1-20230717142347-.jpg"
"1769948089-8","https://www.bigc.co.th/category/beverages?limit=100&page=23","","10.00","น้ำแข็งหลอดเล็ก 1.5 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/15/88/8856403000015/thumbnail/8856403000015_1-20230403150834-.jpg"
"1769948089-9","https://www.bigc.co.th/category/beverages?limit=100&page=23","","10.00","น้ำแข็งหลอดใหญ่ 1.5 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/12/88/8857122712012/thumbnail/8857122712012_1-20230403150654-.jpg"
"1769948089-10","https://www.bigc.co.th/category/beverages?limit=100&page=23","","13.00","ยูนิฟ เฟรช น้ำผักผลไม้ผสมน้ำมิกซ์เบอร์รี่รวม 40% 250 มล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/93/88/8850388540993/thumbnail/8850388540993_1-20230621110514-.jpg"
