web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1770052880-1","https://www.bigc.co.th/category/household-essentials?limit=100","","186.00","สก๊อตช์ ไบรต์ ผ้าเช็ดพื้นชนิดเปียก สูตรฆ่าเชื้อแบคทีเรีย 24 แผ่น","฿189.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/93/88/8850304218593/thumbnail/8850304218593.jpg"
"1770052880-2","https://www.bigc.co.th/category/household-essentials?limit=100","","95.00","ซันไลต์ เลมอน เทอร์โบ น้ำยาล้างจาน 740 มล. แพ็ค 3","฿130.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/14/88/8851932419314/thumbnail/8851932419314_1-20230103085102-.jpg"
"1770052880-3","https://www.bigc.co.th/category/household-essentials?limit=100","","67.00","ไฟน์ไลน์ น้ำยาปรับผ้านุ่ม กลิ่นเจนเทิล ไวท์ 1,300 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/74/88/8851989036274/thumbnail/8851989036274_1-20251114100909-.jpg"
"1770052880-4","https://www.bigc.co.th/category/household-essentials?limit=100","","67.00","ไฟน์ไลน์ น้ำยาปรับผ้านุ่ม กลิ่นซันไชน์ โกลด์ 1,300 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/46/88/8851989036946/thumbnail/8851989036946_1-20251114100908-.jpg"
"1770052880-5","https://www.bigc.co.th/category/household-essentials?limit=100","","99.00","เปา ซุปเปอร์ ซอฟท์ ผงซักฟอก 1800 ก.","฿112.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/91/88/8850002017191/thumbnail/8850002017191_1-20240312145455-.jpg"
"1770052880-6","https://www.bigc.co.th/category/household-essentials?limit=100","","10.50","โปร น้ำยาล้างจาน สูตรเข้มข้น 400 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/16/88/8850002012516/thumbnail/8850002012516_1-20230522155616-.jpg"
"1770052880-7","https://www.bigc.co.th/category/household-essentials?limit=100","","68.00","สก๊อตช์-ไบรต์ แผ่นใยขัดพร้อมฟองน้ำ 3 ชิ้น ฟรี 1 ชิ้น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/77/88/8859272201477/thumbnail/8859272201477_1-20260113151825-.jpg"
"1770052880-8","https://www.bigc.co.th/category/household-essentials?limit=100","","99.00","เปา ซุปเปอร์ ไวท์ ผงซักฟอก 1800 ก.","฿112.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/79/88/8850002016279/thumbnail/8850002016279_0-20250103115101-.jpg"
"1770052880-9","https://www.bigc.co.th/category/household-essentials?limit=100","","67.00","ไฟน์ไลน์ น้ำยาปรับผ้านุ่ม กลิ่นพิ้งค์ บลอสซั่ม 1300 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/40/88/8851989035840/thumbnail/8851989035840_1-20251118114008-.jpg"
"1770052880-10","https://www.bigc.co.th/category/household-essentials?limit=100","","99.00","เปา ซุปเปอร์ คัลเลอร์ ผงซักฟอก 1800 ก.","฿112.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/86/88/8850002016286/8850002016286_1-20240312144447-.jpg"
