web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1770054931-1","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","29.00","โมริฮาน่า เรตินอล เอ คอนเซนเทรด แอมพูล 15 มล.","฿139.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/46/88/8858718651746/thumbnail/8858718651746.jpg"
"1770054931-2","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","29.00","โมริฮาน่า เปปไทด์ คอนเซนเทรด แอมพูล 15 มล.","฿139.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/53/88/8858718651753/thumbnail/8858718651753.jpg"
"1770054931-3","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","9.00","ไทลินอล ยาเม็ดบรรเทาปวด ลดไข้ 500 มิลลิกรัม แผง 4 เม็ด","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/57/88/8850007850557/thumbnail/8850007850557_1-20251219113331-.jpg"
"1770054931-4","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","159.00","เซนกะ คลีนซิ่ง เพอร์เฟกต์ วิป โฟมล้างหน้า 120 ก.","฿199.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/68/45/4550516474568/thumbnail/4550516474568_1-20251114150702-.jpg"
"1770054931-5","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","35.00","อินเตอร์ฟาร์มา ผลิตภัณฑ์เสริมอาหาร โปรแบค ไบโอแอคทีฟ 2 แคปซูล","฿69.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/74/88/8858922702074/thumbnail/8858922702074_1-20241226102338-.jpg"
"1770054931-6","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","24.00","โป๊ยเซียน ยาดม 1.7 ซีซี คละสี","฿25.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/06/88/8851447010006/thumbnail/8851447010006_1-20250929171728-.jpg"
"1770054931-7","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","20.00","เซียงเพียว ยาดม สูตร 2 ขนาด 2 ซีซี","฿25.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/12/88/8850109011412/thumbnail/8850109011412_1-20251127154727-.jpg"
"1770054931-8","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","35.00","เซียงเพียว ยาหม่องเหลือง 12 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/15/88/8850109001215/thumbnail/8850109001215_1-20251001164623-.jpg"
"1770054931-9","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","45.00","เซียงเพียว อิ๊ว ยาหม่องน้ำ สูตร 2 ขนาด 5 ซีซี","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/22/88/8850109501722/thumbnail/8850109501722_1-20251127154733-.jpg"
"1770054931-10","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","40.00","แฮนดี้เฮิร์บ จี-ไนท์ กัมมี่ 4 ชิ้น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/30/88/8856082005530/thumbnail/8856082005530_1-20240122093729-.jpg"
"1770054931-11","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","29.00","โมริฮาน่า แคนนาบิส ซาติวา ซีด ออยล์ ซีซี ครีม เอสพีเอฟ 50 พีเอ+++ 30 ก.","฿129.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/87/88/8857127990187/thumbnail/8857127990187_1-20221129120328-.jpg"
"1770054931-12","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","56.00","ตราเสือ ยาหม่อง เอช อาร์ 10 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/04/88/8851990201104/thumbnail/8851990201104_1.jpg"
"1770054931-13","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","89.00","วีด้า แอลกอฮอล์ สเปรย์ 75% 1 ล.","฿110.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/50/88/8856439000850/thumbnail/8856439000850_1-20250620120350-.jpg"
"1770054931-14","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","56.00","ศิริบัญชา ตรามงกุฎพญานาคคู่ เอทิลแอลกอฮอล์ 70% ขนาด 450 ซีซี.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/92/88/8851124104592/thumbnail/8851124104592_1-20251001131133-.jpg"
"1770054931-15","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","92.00","เซียงเพียว ยาหม่องขาว 40 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/52/88/8850109001352/thumbnail/8850109001352_1-20251127154726-.jpg"
"1770054931-16","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","89.00","โมริฮาน่า วิตามินซี พลัส กลูต้า เฟเชี่ยล คลีนซิ่ง โฟม 100 ก.","฿99.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/34/20/2000006888334/thumbnail/2000006888334_1.jpg"
"1770054931-17","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","89.00","โมริฮาน่า ไฮยา พลัส เซนเทลล่า เฟเชี่ยล เซรั่ม 30 มล.","฿129.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/95/88/8857127990095/thumbnail/8857127990095_1-20251001131043-.jpg"
"1770054931-18","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","48.00","เซียงเพียว ยาหม่องน้ำ สูตรต้นตำรับ 7 ซีซี","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/23/88/8850109001123/thumbnail/8850109001123-20251002125809-.jpg"
"1770054931-19","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","19.00","วีด้า แอลกอฮอล์ สเปรย์ ทำความสะอาดมือ 75% ขนาด 60 มล.","฿39.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/87/88/8856439000287/thumbnail/8856439000287.jpg"
"1770054931-20","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","165.00","โพลิเดนท์ เม็ดฟู่สำหรับทำความสะอาดฟันปลอม สูตร 3 นาที 30 เม็ด","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/27/88/8851007100727/thumbnail/8851007100727_1-20250416164239-.jpg"
"1770054931-21","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","45.00","เซียงเพียว ยาดมน้ำ ยูคาลิปตัส 3 ซีซี","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/21/88/8850109500121/thumbnail/8850109500121-20251002125611-.jpg"
"1770054931-22","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","29.00","โมริฮาน่า อโลแอนด์แคคตัส เฟเชียล โฟม 100 ก.","฿99.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/18/88/8857127990118/thumbnail/8857127990118_1-20230717145848-.jpg"
"1770054931-23","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","6.00","ยันฮี พาราเทมป์ พาราเซตามอล 500 มก. 4 เม็ด","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/25/88/8854609011125/thumbnail/8854609011125_1-20251002142732-.jpg"
"1770054931-24","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","130.00","เซียงเพียว ยาหม่องน้ำ สูตรต้นตำรับ 25 ซีซี","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/16/88/8850109001116/thumbnail/8850109001116_1-20251001131034-.jpg"
"1770054931-25","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","35.00","วังว่าน ยาหม่อง 8 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/14/88/8859367700014/thumbnail/8859367700014_1-20251104091251-.jpg"
"1770054931-26","https://www.bigc.co.th/category/pure-pharmacy?limit=100","","18.00","ไทลินอล ยาเม็ดบรรเทาปวด ลดไข้ 500 มิลลิกรัม แผง 10 เม็ด","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/29/88/8850007850229/thumbnail/8850007850229_1-20251219113341-.jpg"
