web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1769920496-1","https://www.bigc.co.th/category/grocery-bakery?limit=100","","78.00","น่องไก่ติดสะโพก","฿89.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/87/02/0211287/thumbnail/0211287_1.jpg"
"1769920496-2","https://www.bigc.co.th/category/grocery-bakery?limit=100","","87.00","อกไก่","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/20/02/0211320/thumbnail/0211320_2_1.jpg"
"1769920496-3","https://www.bigc.co.th/category/grocery-bakery?limit=100","","85.00","ปีกบนไก่","฿92.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/12/02/0211312/thumbnail/0211312.jpg"
"1769920496-4","https://www.bigc.co.th/category/grocery-bakery?limit=100","","353.00","วี อาร์ เฟร็ช ปลาแซลมอนนอร์เวย์ 1 ตัว (ขนาด 4-6 กก.)","฿409.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/56/02/0259756/thumbnail/0259756_1-20251017172908-.jpg"
"1769920496-5","https://www.bigc.co.th/category/grocery-bakery?limit=100","","127.00","หมูเนื้อแดง","฿130.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/43/02/0211343/thumbnail/0211343_1.jpg"
"1769920496-6","https://www.bigc.co.th/category/grocery-bakery?limit=100","","129.00","เนื้อหมูสันนอก","฿139.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/08/02/0210008/thumbnail/0210008.jpg"
"1769920496-7","https://www.bigc.co.th/category/grocery-bakery?limit=100","","25.00","แครอทนอก","฿29.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/03/02/0214803/0214803_4.jpg"
"1769920496-8","https://www.bigc.co.th/category/grocery-bakery?limit=100","","22.00","โครงไก่พิเศษ","฿26.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/46/02/0254246/thumbnail/0254246.jpg"
"1769920496-9","https://www.bigc.co.th/category/grocery-bakery?limit=100","","129.00","วี อาร์ เฟร็ช หมูเนื้อแดงบด","฿145.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/60/02/0251360/thumbnail/0251360_1-20250805100835-.jpg"
"1769920496-10","https://www.bigc.co.th/category/grocery-bakery?limit=100","","17.00","เห็ดชิเมจิดำ","฿19.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/44/20/2000002988144/thumbnail/2000002988144_1-20250225104300-.jpg"
