web_scraper_order,web_scraper_start_url,pagination-selector,price,data,image
"1770053921-1","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","39.00","บิ๊กซี แฮปปี้ ไพรซ์ อาหารแมว รสปลาซาร์ดีนและปลาทะเลในเยลลี่ 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/04/88/8850356055504/thumbnail/8850356055504_1-20240206164709-.jpg"
"1770053921-2","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","39.00","บิ๊กซี แฮปปี้ ไพรซ์ อาหารแมว รสปลาทะเลในเยลลี่กุ้ง 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/08/88/8850356057508/thumbnail/8850356057508_1-20240205161624-.jpg"
"1770053921-3","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","23.00","บิ๊กซี แฮปปี้ ไพรซ์ โปร อาหารแมวกระป๋อง แบบเปียก รสปลาทะเลผสมกุ้งในแอสปิคเยลลี่ 185 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/02/88/8850356046502/thumbnail/8850356046502_1.jpg"
"1770053921-4","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","39.00","บิ๊กซี แฮปปี้ ไพรซ์ อาหารแมว รสปลาทะเลและไก่ในเยลลี่ 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/01/88/8850356056501/thumbnail/8850356056501_1-20240206164709-.jpg"
"1770053921-5","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","36.00","โอกิ อาหารสุนัข รสเนื้อบดและตับบด แช่แข็ง 1 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/93/88/8850867000093/thumbnail/8850867000093_1-20240712144204-.jpg"
"1770053921-6","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","33.00","โอกิ อาหารสุนัข รสไก่บด แช่แข็ง 1 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/79/88/8850867000079/thumbnail/8850867000079_1-20240712144216-.jpg"
"1770053921-7","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","35.00","เหมียว เหมียว อาหารแมวชนิดเปียก รสปลาทูน่าและปลาซาร์ดีนในเยลลี่ 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/31/88/8859160401231/thumbnail/8859160401231.jpg"
"1770053921-8","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","18.00","วิสกัส เพาซ์ อาหารแมวชนิดเปียก สำหรับแมวโต รสปลาทู 80 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/31/88/8853301550031/thumbnail/8853301550031_1-20231030102608-.jpg"
"1770053921-9","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","18.00","มีโอ อาหารแมว รสทูน่าและไก่ในเยลลี่ 80 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/01/88/8850477583801/thumbnail/8850477583801_1-20240924104214-.jpg"
"1770053921-10","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","46.00","ดี๊ดี เนื้อบด สำหรับสุนัข 1 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/92/88/8850867000192/thumbnail/8850867000192_1-20240109120359-.jpg"
"1770053921-11","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","135.00","วิสกัส อาหารแมวชนิดเม็ด รสปลาทู 1.2 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/52/88/8853301140652/thumbnail/8853301140652_1-20251031172053-.jpg"
"1770053921-12","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","18.00","วิสกัส เพาซ์ อาหารแมวชนิดเปียก สำหรับแมวสูงวัย รสปลาทู 80 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/69/88/8853301000369/thumbnail/8853301000369_1-20231030090711-.jpg"
"1770053921-13","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","23.00","บิ๊กซี แฮปปี้ ไพรซ์ โปร อาหารแมวกระป๋อง แบบเปียก รสปลาซาร์ดีนผสมเยลลี่กุ้ง 185 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/09/88/8850356047509/thumbnail/8850356047509_1-20240201120205-.jpg"
"1770053921-14","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","39.00","บิ๊กซี แฮปปี้ ไพรซ์ อาหารสุนัข รสเนื้อ 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/00/88/8850356053500/thumbnail/8850356053500_1-20240206164709-.jpg"
"1770053921-15","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","18.00","วิสกัส เพาช์จูเนียร์ รสไก่มูส 80 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/43/88/8853301012843/thumbnail/8853301012843_1-20240220085203-.jpg"
"1770053921-16","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","35.00","เหมียว เหมียว อาหารแมวชนิดเปียก รสซีฟู้ดเพลทเทอร์ในเยลลี่ 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/86/88/8859160400586/thumbnail/8859160400586_1-20240109120105-.jpg"
"1770053921-17","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","35.00","เหมียว เหมียว อาหารแมวชนิดเปียก รสปลาซาร์ดีนในเยลลี่ 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/79/88/8859160400579/thumbnail/8859160400579_1-20240923135207-.jpg"
"1770053921-18","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","23.00","บิ๊กซี แฮปปี้ ไพรซ์ โปร อาหารแมวกระป๋อง แบบเปียก รสปลาซาร์ดีนและไก่ในแอสปิคเยลลี่ 185 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/05/88/8850356045505/thumbnail/8850356045505_1-20240201120137-.jpg"
"1770053921-19","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","18.00","วิสกัส เพาซ์ จูเนียร์ อาหารแมวชนิดเปียก สำหรับลูกแมว รสปลาทู 80 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/23/88/8853301550123/thumbnail/8853301550123_1-20231030102659-.jpg"
"1770053921-20","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","18.00","วิสกัส เพาซ์ อาหารแมวชนิดเปียก สำหรับแมวโต รสปลาทูน่า 80 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/17/88/8853301550017/thumbnail/8853301550017_1-20231030102601-.jpg"
"1770053921-21","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","119.00","มีโอ ทรายแมว ชนิดจับตัวเป็นก้อน กลิ่นธรรมชาติ 5 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/55/88/8850477490055/thumbnail/8850477490055_1-20221223135627-.jpg"
"1770053921-22","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","18.00","วิสกัส เพาซ์ อาหารแมวชนิดเปียก รสปลาทูและปลาแซลมอน 80 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/79/88/8853301550079/thumbnail/8853301550079_1-20231030102702-.jpg"
"1770053921-23","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","23.00","ชีบา อาหารแมว ชนิดเปียก เนื้อไก่ พร้อมปลาทูน่าในน้ำเกรวี่ 70 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/54/88/8853301003254/thumbnail/8853301003254_1-20230710171950-.jpg"
"1770053921-24","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","169.00","วิสกัส เพาซ์ อาหารแมวชนิดเปียก รสปลาทู/ปลาทะเล/ปลาทูและแซลมอน 80 ก. แพ็ค 12","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/47/88/8853301550147/thumbnail/8853301550147_1-20231030102656-.jpg"
"1770053921-25","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","23.00","บิ๊กซี แฮปปี้ ไพรซ์ โปร อาหารแมวกระป๋อง แบบเปียก รสปลาทูน่าในแอสปิค 185 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/06/88/8850356048506/thumbnail/8850356048506_1-20240201120228-.jpg"
"1770053921-26","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","44.00","โอกิ ไก่บดผสมตับ สำหรับสุนัข 1 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/86/88/8850867000086/thumbnail/8850867000086_1-20240712144229-.jpg"
"1770053921-27","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","48.00","มีโอ อาหารแมวชนิดเปียก สำหรับแมวโต รสปลาทู 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/95/88/8850477000995/thumbnail/8850477000995_4.jpg"
"1770053921-28","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","23.00","มีโอ ดีไลท์ อาหารแมวชนิดเปียก รสปลาทูน่าและปลาโอในเยลลี่ 70 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/51/88/8850477018051/thumbnail/8850477018051_1-20230807092600-.jpg"
"1770053921-29","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","35.00","โฮ่ง โฮ่ง อาหารสุนัขชนิดเปียก รสตับแบบชิ้นในน้ำเกรวี่ 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/16/88/8859160402016/thumbnail/8859160402016_1-20240104193736-.jpg"
"1770053921-30","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","25.00","เพียวริน่า วัน อาหารสูตรแมวโต พร้อมปลาทะเลในเกรวี่ ชนิดเปียก 70 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/99/88/8850126001199/thumbnail/8850126001199_2-20240913124040-.jpg"
"1770053921-31","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","39.00","บิ๊กซี แฮปปี้ ไพรซ์ อาหารแมว รสปลาทูน่าในเยลลี่ 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/05/88/8850356058505/thumbnail/8850356058505_1-20240205161623-.jpg"
"1770053921-32","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","48.00","มีโอ อาหารแมวชนิดเปียก สำหรับแมวโต รสทูน่า 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/00/88/8850477517400/thumbnail/8850477517400.jpg"
"1770053921-33","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","119.00","มีโอ ทรายแมว ชนิดจับตัวเป็นก้อน กลิ่นเลมอน 5 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/65/88/8850477000865/thumbnail/8850477000865_1-20221223135508-.jpg"
"1770053921-34","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","199.00","มีโอ ทรายแมว กลิ่นแอปเปิ้ล 10 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/08/88/8850477570108/thumbnail/8850477570108_1-20230411085803-.jpg"
