web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1770053532-1","https://www.bigc.co.th/category/stationery-and-office-supplies?limit=100","","79.00","โซกู๊ด กระดาษถ่ายเอกสาร A4 70 แกรม 500 แผ่น","฿97.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/03/88/8858741704303/thumbnail/8858741704303_1-20251229092255-.jpg"
"1770053532-2","https://www.bigc.co.th/category/stationery-and-office-supplies?limit=100","","410.00","บิ๊กเพนกวิน กระดาษถ่ายเอกสาร ขนาด A4 หนา 70 แกรม 500 แผ่น แพ็ค 5 ชิ้น","฿475.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/68/88/8851538357768/thumbnail/8851538357768_0-20240827131533-.jpg"
"1770053532-3","https://www.bigc.co.th/category/stationery-and-office-supplies?limit=100","","95.00","ตราช้าง กระดาษ ขนาด A4 70 แกรม 500 แผ่น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/74/88/8858659300574/8858659300574_0-20240827130323-.jpg"
"1770053532-4","https://www.bigc.co.th/category/stationery-and-office-supplies?limit=100","","610.00","ดับเบิ้ล เอ กระดาษถ่ายเอกสาร A4 80 แกรม แพ็ค 5","฿620.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/23/88/8856976000023/thumbnail/8856976000023_0-20240827125718-.jpg"
"1770053532-5","https://www.bigc.co.th/category/stationery-and-office-supplies?limit=100","","83.00","บิ๊กเพนกวิน กระดาษถ่ายเอกสาร ขนาด A4 หนา 70 แกรม 500 แผ่น","฿95.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/51/88/8851538357751/8851538357751_0-20240827131635-.jpg"
"1770053532-6","https://www.bigc.co.th/category/stationery-and-office-supplies?limit=100","","100.00","เพนกวิน กระดาษถ่ายเอกสาร ขนาด A4 70 แกรม 500 แผ่น","฿105.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/78/88/8851538707778/thumbnail/8851538707778_0-20240827130808-.jpg"
"1770053532-7","https://www.bigc.co.th/category/stationery-and-office-supplies?limit=100","","105.00","ช้าง บางปะอิน กระดาษถ่ายเอกสาร A4 500 แผ่น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/09/88/8858659300109/8858659300109_0-20240827130433-.jpg"
"1770053532-8","https://www.bigc.co.th/category/stationery-and-office-supplies?limit=100","","470.00","เพนกวิน กระดาษถ่ายเอกสาร ขนาด A4 แพ็ค 5","฿499.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/11/88/8851538110011/thumbnail/8851538110011_0-20240827130647-.jpg"
"1770053532-9","https://www.bigc.co.th/category/stationery-and-office-supplies?limit=100","","125.00","ดับเบิ้ล เอ กระดาษถ่ายเอกสาร A4 80 แกรม","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/16/88/8856976000016/8856976000016_0-20240827130032-.jpg"
"1770053532-10","https://www.bigc.co.th/category/stationery-and-office-supplies?limit=100","","22.00","นูโว เทปใส แกน 1 นิ้ว ขนาด 18 มิลลิเมตร x 36 หลา","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/32/88/8855805045532/thumbnail/8855805045532_1-20231130164553-.jpg"
"1770053532-11","https://www.bigc.co.th/category/stationery-and-office-supplies?limit=100","","122.00","ไอเดียร์ เวิร์ค กระดาษถ่ายเอกสาร ขนาด A4 80 แกรม 500 แผ่น","฿125.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/93/88/8852413459393/8852413459393_0-20240827131047-.jpg"
"1770053532-12","https://www.bigc.co.th/category/stationery-and-office-supplies?limit=100","","35.00","มาสเตอร์อาร์ต ดินสอสี 12 สี","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/49/88/8851907273149/thumbnail/8851907273149_1-20251121103526-.jpg"
"1770053532-13","https://www.bigc.co.th/category/stationery-and-office-supplies?limit=100","","135.00","ดับเบิลเอ คัลเลอปริ้นซ์ กระดาษ A4 90 แกรม 500 แผ่น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/15/88/8858741702415/8858741702415_0-20240827132342-.jpg"
"1770053532-14","https://www.bigc.co.th/category/stationery-and-office-supplies?limit=100","","35.00","ตราม้า เทปลบคำผิด รุ่น H-912 คละสี","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/82/88/8858729257982/thumbnail/8858729257982_1-20251114113440-.jpg"
