web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1770054171-1","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","2,990.00","อะโคนาติก ดิจิตอลทีวี Full HD รุ่น 32HD515AN ขนาด 32 นิ้ว","฿4,090.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/31/88/8859474202531/thumbnail/8859474202531_1-20250410104638-.jpg"
"1770054171-2","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","7,990.00","ซัมซุง ตู้เย็น 2 ประตู รุ่น RT20HAR1DSA/ST ขนาด 7.3 คิว","฿9,290.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/26/88/8806086028226/thumbnail/8806086028226_LB-20230720132051-.jpg"
"1770054171-3","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","149.00","คาชิวา กาต้มน้ำไฟฟ้า 1.7 ล. รุ่น EK180 สีเงิน","฿299.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/03/88/8854336030703/thumbnail/8854336030703_1-20251027181546-.jpg"
"1770054171-4","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","7,490.00","แอลจี เครื่องซักผ้าฝาบน 2 ถัง ระบบโรลเลอร์เจ็ท รุ่น TT17NAPG ขนาด 17 กก. สีดำ","฿8,990.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/06/88/8806091923806/thumbnail/8806091923806_WM-20230720095804-.jpg"
"1770054171-5","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","189.00","สมาร์ทโฮม กาต้มน้ำร้อนไฟฟ้า รุ่น CA-1009 ขนาด 1.8 ล. สีเงิน","฿429.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/85/88/8859110100085/thumbnail/8859110100085_HL-20240227140747-.jpg"
"1770054171-6","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","5,990.00","อะโคนาติก เน็ตฟลิกซ์ทีวี รุ่น 43HS410AN ขนาด 43 นิ้ว","฿12,990.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/52/88/8859474201152/thumbnail/8859474201152_1-20231016170900-.jpg"
"1770054171-7","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","369.00","คาชิวา หม้อหุงข้าว รุ่น RC-1801 ขนาด 1.8 ล. คละลาย","฿599.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/13/88/8854336022913/thumbnail/8854336022913_1-20250310175127-.jpg"
"1770054171-8","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","5,999.00","ไฮเซ่นส์ สมาร์ททีวี VIDAA FHD รุ่น 40A4Q ขนาด 40 นิ้ว สีดำ","฿8,390.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/32/69/6942351418032/thumbnail/6942351418032_1-20250630103049-.jpg"
"1770054171-9","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","6,990.00","ซัมซุง เครื่องซักผ้าถังคู่ ขนาด 14 กก. รุ่น WT14B5040BA/ST สีดำ","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/25/88/8806094375725/thumbnail/8806094375725_WM-20230720095810-.jpg"
"1770054171-10","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","499.00","สมาร์ทโฮม เตาปิ้งย่างอเนกประสงค์พร้อมหม้อสุกี้ รุ่น SM-EG1302 สีดำ","฿790.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/62/88/8859110104762/thumbnail/8859110104762-20240502163541-.jpg"
