web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1770051972-1","https://www.bigc.co.th/category/mom-baby?limit=100","","238.00","เอนฟาโกร เอพลัส นมยูเอชที สูตร 3 สำหรับเด็กอายุ 1 ปีขึ้นไปและทุกคนในครอบครัว รสจืด 180 มล. แพ็ค 12","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/55/03/0300875104255/thumbnail/300875104255-20250930090925-.jpg"
"1770051972-2","https://www.bigc.co.th/category/mom-baby?limit=100","","99.00","ดีนี่ เนเชอรัล ผลิตภัณฑ์ซักผ้าเด็ก สูตรไบรท์ แอนด์​ ไชน์ 400 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/72/88/8851989066172/thumbnail/8851989066172_1-20230407152324-.jpg"
"1770051972-3","https://www.bigc.co.th/category/mom-baby?limit=100","","134.00","ดีนี่ คิดส์ ออร์แกนิก สบู่เหลวอาบ สระ นวด เรดกัมมี่ 400 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/78/88/8851989064178/thumbnail/8851989064178_1-20241017112412-.jpg"
"1770051972-4","https://www.bigc.co.th/category/mom-baby?limit=100","","198.00","ดีนี่ นิวบอร์น ผลิตภัณฑ์ซักผ้าเด็ก กลิ่นฮันนี่สตาร์ 1300 มล.","฿209.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/19/88/8851989064819/thumbnail/8851989064819_1-20250303141958-.jpg"
"1770051972-5","https://www.bigc.co.th/category/mom-baby?limit=100","","198.00","ดีนี่ นิวบอร์น ผลิตภัณฑ์ซักผ้าเด็ก ออร์แกนิก อโลเวร่า 1300 มล.","฿209.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/33/88/8851989064833/thumbnail/8851989064833_1-20250303141940-.jpg"
"1770051972-6","https://www.bigc.co.th/category/mom-baby?limit=100","","39.00","โคโดโม ยาสีฟันเด็กออแกนิก กลิ่นสตรอเบอร์รี 40 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/74/88/8850002041974/thumbnail/8850002041974_1-20250423145509-.jpg"
"1770051972-7","https://www.bigc.co.th/category/mom-baby?limit=100","","96.00","โคโดโม น้ำยาซักผ้าเด็กสูตรเข้มข้น เนเชอรัล ไมเซลลาร์ 580 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/56/88/8850002020856/thumbnail/8850002020856_1-20240906092259-.jpg"
"1770051972-8","https://www.bigc.co.th/category/mom-baby?limit=100","","198.00","ดีนี่ นิวบอร์น ผลิตภัณฑ์ซักผ้าเด็ก กลิ่นไลฟ์ลี่สกาย 1300 มล.","฿209.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/02/88/8851989064802/thumbnail/8851989064802_1-20250303141949-.jpg"
"1770051972-9","https://www.bigc.co.th/category/mom-baby?limit=100","","198.00","ดีนี่ สวีท ดรีม น้ำยาซักผ้าเด็ก 1300 มล.","฿209.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/38/88/8851989066738/thumbnail/8851989066738_1-20250303160036-.jpg"
"1770051972-10","https://www.bigc.co.th/category/mom-baby?limit=100","","87.00","ดีนี่ นิวบอร์น ผลิตภัณฑ์ล้างขวดนม ออร์แกนิค อโลเวร่า ชนิดถุงเติม 550 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/94/88/8851989060194/thumbnail/8851989060194_1-20251225111729-.jpg"
