web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1769920735-1","https://www.bigc.co.th/category/eggs-milk-dairy-products?limit=100","","113.00","วี อาร์ เฟร็ช ไข่ไก่คละขนาด แพ็ค 30","฿129.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/81/20/2000003703081/thumbnail/2000003703081_1-20240208114534-.jpg"
"1769920735-2","https://www.bigc.co.th/category/eggs-milk-dairy-products?limit=100","","38.00","ดีน่า นมถั่วเหลืองยูเอชที สูตรผสมงาดำ 2 เท่า เจ 180 มล. X 4 ชิ้น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/10/88/8853002080110/8853002080110_0-20230726161007-.jpg"
"1769920735-3","https://www.bigc.co.th/category/eggs-milk-dairy-products?limit=100","","74.00","โฟร์โมสต์ นมยูเอชที รสจืด 225 มล. แพ็ค 6","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/09/88/8850188253109/thumbnail/8850188253109_1-20250611111345-.jpg"
"1769920735-4","https://www.bigc.co.th/category/eggs-milk-dairy-products?limit=100","","362.25","โฟร์โมสต์ โอเมก้า 369 นมยูเอชที รสจืด 180 มล. แพ็ค 36","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/52/38/38850188800052/thumbnail/38850188800052_1-20250808101046-.jpg"
"1769920735-5","https://www.bigc.co.th/category/eggs-milk-dairy-products?limit=100","","38.00","ดัชมิลล์ 4อิน1 ไมโคร แอคทีฟ โยเกิร์ตพร้อมดื่มยูเอชที รสผลไม้รวม 165 มล. x 4 ชิ้น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/33/88/8851717049033/thumbnail/8851717049033_1-20240425144406-.jpg"
"1769920735-6","https://www.bigc.co.th/category/eggs-milk-dairy-products?limit=100","","38.00","ดีน่า นมถั่วเหลืองยูเอชที ผสมงาดำ 2 เท่า สูตรน้ำตาลน้อย เจ 180 มล. X 4 ชิ้น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/87/88/8851717200687/8851717200687_0-20230726160930-.jpg"
"1769920735-7","https://www.bigc.co.th/category/eggs-milk-dairy-products?limit=100","","96.00","เอ็มมิลค์ นมจืดพาสเจอร์ไรส์ 2000 มล.","฿101.50","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/19/88/8859295000019/thumbnail/8859295000019_1-20250901112619-.jpg"
"1769920735-8","https://www.bigc.co.th/category/eggs-milk-dairy-products?limit=100","","99.75","ซีพี-เมจิ น้ำนมโคพาสเจอร์ไรส์ 2,000 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/12/88/8850329102112/thumbnail/8850329102112_1.jpg"
"1769920735-9","https://www.bigc.co.th/category/eggs-milk-dairy-products?limit=100","","74.00","โฟร์โมสต์ นมยูเอชที รสช็อกโกแลต 225 มล. แพ็ค 6","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/07/88/8850188253307/thumbnail/8850188253307_1-20250611133417-.jpg"
"1769920735-10","https://www.bigc.co.th/category/eggs-milk-dairy-products?limit=100","","225.50","ซีพี-เมจิ น้ำนมโคพาสเจอร์ไรส์ 5000 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/13/88/8850329150113/thumbnail/8850329150113_1-20240311095256-.jpg"
